pl_name,hostname,default_flag,discoverymethod,disc_year,soltype,pl_orbper,pl_rade,sy_refname,rastr,ra,decstr,dec,sy_dist
TOI-1798.02,TOI-1798,1,Transit,2024,Published Confirmed,0.43781460,1.399,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,14h04m22.54s,211.0939367,+46d31m09.42s,46.5192825,113.1810000
TOI-1798.01,TOI-1798,1,Transit,2024,Published Confirmed,8.02154000,2.385,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,14h04m22.54s,211.0939367,+46d31m09.42s,46.5192825,113.1810000
TOI-1799 b,TOI-1799,1,Transit,2024,Published Confirmed,7.08573800,1.422,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h08m55.90s,167.2329152,+34d18m10.85s,34.3030149,62.1274000
TOI-1801 b,TOI-1801,1,Transit,2023,Published Confirmed,10.64387000,2.079,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h42m18.14s,175.5755995,+23d01m37.32s,23.0270335,30.6796000
TOI-1806.01,TOI-1806,1,Transit,2024,Published Confirmed,15.14546930,3.410,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h04m28.36s,166.1181474,+30d27m30.87s,30.4585763,55.5211000
TOI-1807 b,TOI-1807,1,Transit,2021,Published Confirmed,0.54937097,1.497,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,13h25m07.83s,201.2826259,+38d55m20.52s,38.9223671,42.5775000
TOI-181 b,TOI-181,1,Transit,2023,Published Confirmed,4.53200000,6.956,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h28m41.41s,352.1725409,-34d29m29.08s,-34.4914099,96.2338000
TOI-1811 b,TOI-1811,1,Transit,2023,Published Confirmed,3.71307650,11.142,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h35m41.37s,188.9223576,+27d12m51.76s,27.2143766,128.2300000
TOI-1820 b,TOI-1820,1,Transit,2022,Published Confirmed,4.86067400,12.778,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h30m44.81s,187.6867207,+27d27m07.21s,27.4520016,248.5040000
TOI-1823 b,TOI-1823,1,Transit,2024,Published Confirmed,38.80000000,7.541,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,13h04m52.73s,196.2197201,+63d45m11.74s,63.7532610,71.6456000
TOI-1824 b,TOI-1824,1,Transit,2024,Published Confirmed,22.80853300,2.744,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,13h10m55.49s,197.7312286,+61d44m41.46s,61.7448492,59.4314000
TOI-1836 c,TOI-1836,1,Transit,2024,Published Confirmed,1.77274710,2.600,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h23m37.90s,245.9079242,+54d41m24.28s,54.6900774,191.6490000
TOI-1836 b,TOI-1836,1,Transit,2024,Published Confirmed,20.38084500,8.281,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h23m37.90s,245.9079242,+54d41m24.28s,54.6900774,191.6490000
TOI-1842 b,TOI-1842,1,Transit,2021,Published Confirmed,9.57391810,12.349,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,13h27m51.04s,201.9626552,+09d01m50.32s,9.0306437,223.4650000
TOI-1853 b,TOI-1853,1,Transit,2023,Published Confirmed,1.24362580,3.460,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,14h05m50.24s,211.4593468,+16d59m32.53s,16.9923703,165.1050000
TOI-1855 b,TOI-1855,1,Transit,2024,Published Confirmed,1.36414864,18.495,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,13h41m24.95s,205.3539534,+17d41m12.74s,17.6868719,176.8330000
TOI-1859 b,TOI-1859,1,Transit,2023,Published Confirmed,63.48347000,9.752,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h39m19.62s,279.8317644,+69d31m22.34s,69.5228726,224.3850000
TOI-1860 b,TOI-1860,1,Transit,2022,Published Confirmed,1.06621070,1.310,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,15h05m49.62s,226.4567308,+64d02m51.66s,64.0476821,45.8640000
TOI-1898 b,TOI-1898,1,Transit,2024,Published Confirmed,45.52234000,9.396,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,09h38m13.27s,144.5553000,+23d32m48.29s,23.5467464,79.6682000
TOI-1899 b,TOI-1899,1,Transit,2020,Published Confirmed,29.09031200,11.097,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h57m42.44s,299.4268472,+40d08m36.05s,40.1433462,128.4380000
TOI-1937 A b,TOI-1937 A,1,Transit,2023,Published Confirmed,0.94667944,13.978,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,07h45m28.97s,116.3707214,-52d22m59.73s,-52.3832587,415.1350000
